timestamp,user,src_ip,event_type,bytes_transferred,hour,day
2026-06-13 08:02:24.536332,alice,192.168.1.16,login_failed,0,0,2026-06-13
2026-06-13 08:39:29.536332,eve,192.168.1.16,login_success,666,1,2026-06-13
2026-06-13 09:10:38.536332,dave,192.168.1.17,login_success,1438,1,2026-06-13
2026-06-13 10:53:34.536332,alice,192.168.1.15,login_success,969,3,2026-06-13
2026-06-13 11:09:24.536332,bob,192.168.1.16,login_success,543,3,2026-06-13
2026-06-13 11:13:18.536332,dave,192.168.1.13,login_success,1005,3,2026-06-13
2026-06-13 12:47:51.536332,carol,192.168.1.11,login_success,1056,5,2026-06-13
2026-06-13 13:00:15.536332,eve,192.168.1.21,login_success,1282,5,2026-06-13
2026-06-13 13:11:26.536332,dave,192.168.1.12,login_success,674,5,2026-06-13
2026-06-13 14:01:09.536332,alice,192.168.1.17,login_success,899,6,2026-06-13
2026-06-13 15:29:10.536332,eve,192.168.1.20,login_success,366,8,2026-06-13
2026-06-13 15:34:13.536332,frank,192.168.1.27,login_success,587,8,2026-06-13
2026-06-13 15:35:26.536332,frank,192.168.1.27,login_success,846,8,2026-06-13
2026-06-13 15:38:38.536332,frank,192.168.1.24,login_success,1497,8,2026-06-13
2026-06-13 15:39:40.536332,alice,192.168.1.17,login_success,220,8,2026-06-13
2026-06-13 15:48:19.536332,carol,192.168.1.12,login_success,1031,8,2026-06-13
2026-06-13 15:49:14.536332,carol,192.168.1.15,login_success,1467,8,2026-06-13
2026-06-13 15:59:13.536332,dave,192.168.1.28,login_success,800,8,2026-06-13
2026-06-13 16:03:37.536332,frank,192.168.1.17,login_success,1354,8,2026-06-13
2026-06-13 16:14:15.536332,bob,192.168.1.13,login_success,762,8,2026-06-13
2026-06-13 16:16:59.536332,dave,192.168.1.18,login_success,1040,8,2026-06-13
2026-06-13 16:29:21.536332,dave,192.168.1.26,login_success,975,9,2026-06-13
2026-06-13 16:32:15.536332,dave,192.168.1.10,login_success,1304,9,2026-06-13
2026-06-13 16:41:32.536332,alice,192.168.1.13,login_success,234,9,2026-06-13
2026-06-13 16:50:20.536332,bob,192.168.1.26,login_success,291,9,2026-06-13
2026-06-13 16:56:02.536332,alice,192.168.1.14,login_success,1155,9,2026-06-13
2026-06-13 16:57:55.536332,frank,192.168.1.19,login_success,1221,9,2026-06-13
2026-06-13 17:05:07.536332,dave,192.168.1.29,login_success,708,9,2026-06-13
2026-06-13 17:08:53.536332,carol,192.168.1.20,login_success,405,9,2026-06-13
2026-06-13 17:11:53.536332,eve,192.168.1.15,login_success,1225,9,2026-06-13
2026-06-13 17:18:37.536332,bob,192.168.1.14,login_success,765,9,2026-06-13
2026-06-13 17:33:39.536332,eve,192.168.1.15,login_success,1195,10,2026-06-13
2026-06-13 17:39:01.536332,eve,192.168.1.27,login_success,1475,10,2026-06-13
2026-06-13 17:39:34.536332,alice,192.168.1.11,login_success,1216,10,2026-06-13
